,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
286,24304200,https://www.airbnb.com/rooms/24304200,20250625193454,2025-06-26,city scrape,(2) Beautiful N. Cambridge Private Room Two Twin B,"This bedroom for two (2 twin beds) features beautiful natural light, a lounging chair, and a walk-in closet space. We are located in the residential neighborhood of North Cambridge, an 8 minute walk from Davis Sq Red Line train station, and 3 minute walk to buses that will take you to Harvard Sq. There are various restaurants and cafes within walking distance, and we will be happy to give you more suggestions if you are looking for things to do in the area. We look forward to hosting you!","Quiet, safe neighborhood nearby Davis Square and Harvard Square.  Plenty of restaurants within walking distance, available for delivery & take out. 8 minute walk to Davis Square (MBTA Red Line Stop) will bring you to a bustling neighborhood with nightlife, a variety of bars/restaurants, movie theater, and boutiques.",https://a0.muscache.com/pictures/9c2596b4-37da-4760-bf5f-5adfedac6263.jpg,519702802,https://www.airbnb.com/users/show/519702802,Antonio,2023-06-12,"Cambridge, MA",,,,,f,https://a0.muscache.com/im/pictures/user/User-519702802/original/126e995f-023a-4251-b4c1-636cba5b6ecd.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-519702802/original/126e995f-023a-4251-b4c1-636cba5b6ecd.jpeg?aki_policy=profile_x_medium,,2.0,4.0,['phone'],t,t,Neighborhood highlights,North Cambridge,,42.39311,-71.12854,Private room in home,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Smoke alarm"", ""Essentials"", ""Lock on bedroom door"", ""Heating"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Fire extinguisher"", ""Self check-in"", ""First aid kit"", ""Shampoo"", ""Free driveway parking on premises \u2013 1 space"", ""Lockbox"", ""Hangers"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Iron"", ""TV"", ""Wifi""]",$90.00,1,7,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,9,36,64,229,2025-06-26,460,69,10,149,73,255,22950.0,2018-04-17,2025-06-22,4.94,4.97,4.99,4.95,4.97,4.91,4.84,,f,2,0,2,0,5.25
338,32441363,https://www.airbnb.com/rooms/32441363,20250625193454,2025-06-26,city scrape,(1) North Cambridge Private Bedroom Full Be,"This bedroom (1 full bed) features beautiful natural light, a lounging chair, and a walk-in closet. We are located in the residential neighborhood of North Cambridge, an 8 minute walk from the Davis Square Red Line train station, and a 3 minute walk to buses that will take you to Harvard & Central Sq. There are various restaurants and cafes within walking distance, and we will be happy to give you more suggestions if you are looking for things to do in the area. Looking forward to hosting you!","This is a pleasant residential neighborhood, an easy 8 minute walk to bustling Davis Square (Tufts University), where you can take the Red Line to Harvard Square, MIT, and into Boston. There are also plenty of restaurants and cafes within walking distance, as well as the Minuteman Bike Path and Fresh Pond Reservation if you feel like enjoying an outdoor stroll.",https://a0.muscache.com/pictures/89ade1e8-e229-4fd8-9131-249d9fda5a49.jpg,519702802,https://www.airbnb.com/users/show/519702802,Antonio,2023-06-12,"Cambridge, MA",,,,,f,https://a0.muscache.com/im/pictures/user/User-519702802/original/126e995f-023a-4251-b4c1-636cba5b6ecd.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-519702802/original/126e995f-023a-4251-b4c1-636cba5b6ecd.jpeg?aki_policy=profile_x_medium,,2.0,4.0,['phone'],t,t,Neighborhood highlights,North Cambridge,,42.39328,-71.12981,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Smoke alarm"", ""Essentials"", ""Lock on bedroom door"", ""Heating"", ""Hot water"", ""Hair dryer"", ""Fire extinguisher"", ""Microwave"", ""Luggage dropoff allowed"", ""Self check-in"", ""Shampoo"", ""Free driveway parking on premises \u2013 1 space"", ""Lockbox"", ""Hangers"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Iron"", ""Wifi""]",$94.00,1,28,1.0,1.0,28.0,28.0,1.0,28.0,,t,15,34,56,325,2025-06-26,418,74,7,149,85,255,23970.0,2019-02-24,2025-06-21,4.96,4.98,4.98,4.95,4.95,4.92,4.85,,f,2,0,2,0,5.42
467,48282995,https://www.airbnb.com/rooms/48282995,20250625193454,2025-06-27,city scrape,The Modica Estates with Dave room A,"Another listing from the legendary Modica Estates! Co hosted by Jamal Modica, located in the heart of central square, close to MIT! close to Harvard! everything you need to be safe and comfy while your here. We have locks with pin code access for easier checking in and out, 50 inch big screen TVs in each bedroom, highspeed wifi,  queen sized memory foam beds, and pillows, high quality Office chairs and desks, with washer and dryer available and more.","The neighborhood is known as Area 4 of Cambridge, a small residential neighborhood in between Central Square, and Kendall/MIT. We are also just 1 train stop on the Red Line away from Harvard Square. We are in walking distance to everything you want and need, restaurants, shops, public transportation,  were only about 2 miles away from Fenway Park, and were even close to The TD Garden at North station, we are in the heart of Cambridge.",https://a0.muscache.com/pictures/c5d33cf7-bba6-46c0-8561-e35dfd4921ed.jpg,389667772,https://www.airbnb.com/users/show/389667772,David Sungeun,2021-02-22,"Cambridge, MA","I'm happy to be a part of this great community, thank you!",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/bb3fc6d4-388e-4229-9081-b2ad8baad9a1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bb3fc6d4-388e-4229-9081-b2ad8baad9a1.jpg?aki_policy=profile_x_medium,The Port,2.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,The Port,,42.36482,-71.09912,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""First aid kit"", ""Coffee"", ""Iron"", ""Washer"", ""Portable fans"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Stainless steel oven"", ""Self check-in"", ""Shampoo"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Hot water"", ""Microwave"", ""Gas stove"", ""Freezer"", ""Exterior security cameras on property"", ""Hangers"", ""Hot water kettle"", ""Cooking basics"", ""Toaster"", ""Lock on bedroom door"", ""Dryer"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Dining table"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Keypad"", ""TV"", ""Wifi""]",$87.00,1,14,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,12,32,44,214,2025-06-27,331,69,5,132,74,255,22185.0,2021-07-09,2025-06-19,4.84,4.9,4.67,4.95,4.89,4.87,4.75,STR-109785,t,2,0,2,0,6.85
468,48286373,https://www.airbnb.com/rooms/48286373,20250625193454,2025-06-27,city scrape,The Modica Estates  with Dave room B,"Another listing from The legendary Modica Estates! co hosted by Jamal Modica, and located an easy 5 minute walk from the Central Square train station. close to Harvard, even closer to MIT. Hard wood floors,  Memory foam queen size bed and pillows, 50 inch flat screen TV, with Comcast cable and highspeed WIFI, A space heater when its cold, and air conditioner when its hot.   Located in a 3 bedroom apartment, which shares a bathroom, kitchen, and living room with two other bedrooms.",,https://a0.muscache.com/pictures/3dea6a58-6107-4cfd-9b27-62b2e98f67cc.jpg,389667772,https://www.airbnb.com/users/show/389667772,David Sungeun,2021-02-22,"Cambridge, MA","I'm happy to be a part of this great community, thank you!",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/bb3fc6d4-388e-4229-9081-b2ad8baad9a1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bb3fc6d4-388e-4229-9081-b2ad8baad9a1.jpg?aki_policy=profile_x_medium,The Port,2.0,2.0,"['email', 'phone']",t,t,,The Port,,42.36457,-71.09875,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Heating"", ""Books and reading material"", ""Coffee maker"", ""First aid kit"", ""Iron"", ""Washer"", ""Clothing storage: closet"", ""Portable fans"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Stainless steel oven"", ""Self check-in"", ""Shampoo"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Hot water"", ""Microwave"", ""Gas stove"", ""Freezer"", ""Exterior security cameras on property"", ""Hangers"", ""Hot water kettle"", ""Cooking basics"", ""Toaster"", ""Lock on bedroom door"", ""Dryer"", ""Bed linens"", ""Dedicated workspace"", ""Cleaning products"", ""Dining table"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Keypad"", ""TV"", ""Wifi""]",$90.00,1,14,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,3,18,31,199,2025-06-27,313,65,3,117,93,255,22950.0,2021-07-14,2025-06-22,4.88,4.91,4.78,4.93,4.89,4.88,4.81,STR-109785,t,2,0,2,0,6.5
478,49026967,https://www.airbnb.com/rooms/49026967,20250625193454,2025-06-26,city scrape,Cambridgeport Charming 2nd floor 2-room studio,"Cambridge Prime Location, 8 min walk to Central Sq subway, near Charles River, MIT, Harvard, BU, quiet residential area. Easy access to Central, Kendall Squares, Whole Foods, Trader Joe's. Walking-Biking paths along the Charles River and BU Bridge to Boston. Central efficient AC/heating. Hardwood floors, laundries. 2-room nice accessory apartment with a kitchenette inside (sink, fridge, microwave, kettle). Private Bathroom with a shower. Starting package of bathroom essentials",,https://a0.muscache.com/pictures/miso/Hosting-49026967/original/13b0eeec-3348-4f40-b99b-9825f7595237.jpeg,394741679,https://www.airbnb.com/users/show/394741679,Olena,2021-03-29,,,within a few hours,96%,69%,f,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_x_medium,Tufts,48.0,64.0,"['email', 'phone']",t,t,,Cambridgeport,,42.35924941641389,-71.10700902674661,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free dryer \u2013 In unit"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Pets allowed"", ""Shampoo"", ""Oven"", ""Mosquito net"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Hot water"", ""Microwave"", ""Clothing storage: walk-in closet and dresser"", ""Free washer \u2013 In unit"", ""Freezer"", ""Kitchen"", ""Hangers"", ""Ceiling fan"", ""Mini fridge"", ""Hot water kettle"", ""Cooking basics"", ""Stove"", ""Shower gel"", ""Bed linens"", ""Dedicated workspace"", ""Dining table"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Central heating"", ""Long term stays allowed"", ""Wifi""]",$92.00,28,1125,1.0,28.0,1125.0,1125.0,26.0,1125.0,,t,3,8,9,202,2025-06-26,6,1,1,26,5,56,5152.0,2024-03-08,2025-05-29,4.83,4.67,4.33,5.0,4.67,4.83,4.5,,f,16,4,12,0,0.38
479,49052551,https://www.airbnb.com/rooms/49052551,20250625193454,2025-06-26,city scrape,Cambridgeport East Bedroom Private Bathroom,"Cambridge Prime Location – 8 min walk to Central Sq subway, near Charles River, MIT, Harvard, BU, quiet residential area. Easy access to Central, Kendall Squares, Whole Foods, Trader Joe's. Walking-Biking paths along the Charles River and BU Bridge to Boston. Central efficient AC and heating. Hardwood floors, laundries. A small bedroom with a twin bed, desk, closet, private bathroom.  Starting package of bath essentials. Sharing a full kitchen/laundry with 2-3 persons.",,https://a0.muscache.com/pictures/miso/Hosting-49052551/original/e2db102a-bcb7-42cf-b9e7-80198405b0d6.jpeg,394741679,https://www.airbnb.com/users/show/394741679,Olena,2021-03-29,,,within a few hours,96%,69%,f,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_x_medium,Tufts,48.0,64.0,"['email', 'phone']",t,t,,Cambridgeport,,42.35961,-71.1061,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,"[""Baking sheet"", ""Central air conditioning"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Free dryer \u2013 In unit"", ""Iron"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Fire extinguisher"", ""Pets allowed"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Mosquito net"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Hot water"", ""Microwave"", ""Clothing storage: walk-in closet and dresser"", ""Free washer \u2013 In unit"", ""Freezer"", ""Smart lock"", ""Kitchen"", ""Hangers"", ""Ceiling fan"", ""Hot water kettle"", ""Cooking basics"", ""Lock on bedroom door"", ""Bathtub"", ""Stove"", ""Shower gel"", ""Bed linens"", ""Dedicated workspace"", ""Dining table"", ""Carbon monoxide alarm"", ""Central heating"", ""Long term stays allowed"", ""Wifi""]",$63.00,24,1125,24.0,24.0,1125.0,1125.0,24.0,1125.0,,t,0,0,0,161,2025-06-26,9,2,0,0,2,96,6048.0,2021-08-28,2024-12-21,4.67,4.44,3.78,4.78,4.89,5.0,4.33,,f,16,4,12,0,0.19
480,49073289,https://www.airbnb.com/rooms/49073289,20250625193454,2025-06-26,city scrape,Cambridgeport Quiet Private Bath bedroom,"Cambridge Prime Location – 8 minutes walk to Central Sq subway, near Charles River, MIT, Harvard, BU, quiet residential area. Easy access to Central, Kendall Squares, Whole Foods, Trader Joe's. Walking-Biking paths along the Charles River and BU Bridge to Boston. The house has central efficient AC and heating. Hardwood floors.<br />A quiet cozy sunny bedroom with a double bed, closet, dresser, desk on the 2nd floor. Starting package of bath essentials. Free access to the full kitchen and laundry.",,https://a0.muscache.com/pictures/miso/Hosting-49073289/original/4570896b-ad6d-4f7b-9ff9-3ce46338d332.jpeg,394741679,https://www.airbnb.com/users/show/394741679,Olena,2021-03-29,,,within a few hours,96%,69%,f,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_x_medium,Tufts,48.0,64.0,"['email', 'phone']",t,t,,Cambridgeport,,42.36113,-71.10733,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Smoke alarm"", ""Body soap"", ""Lock on bedroom door"", ""Heating"", ""Hot water"", ""Hair dryer"", ""Cooking basics"", ""Bed linens"", ""Self check-in"", ""Shampoo"", ""Free dryer \u2013 In unit"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Keypad"", ""Washer"", ""Wifi""]",$66.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,t,0,0,0,192,2025-06-26,12,9,0,16,7,255,16830.0,2021-09-01,2025-03-20,5.0,4.92,4.5,4.92,4.92,4.92,4.83,,f,16,4,12,0,0.26
481,49138557,https://www.airbnb.com/rooms/49138557,20250625193454,2025-06-26,city scrape,Cambridgeport 1st Floor Comfy 2-room Studio,"Cambridge Prime Location – 8 min walk to Central Sq subway, near Charles River, MIT, Harvard, BU, quiet residential area. Easy access to Central, Kendall Squares, Whole Foods, Trader Joe's. Walking-Biking paths along the Charles River and BU Bridge to Boston. Central efficient AC/heating. Hardwood floors, laundries. 2-room nice accessory apartment w/the kitchenette inside (sink, fridge, microwave, electric kettle). Private Bathroom with a shower.  Starting package of bathroom essentials",,https://a0.muscache.com/pictures/miso/Hosting-49138557/original/24f269bd-70d0-441c-ba73-1abc17dcb958.jpeg,394741679,https://www.airbnb.com/users/show/394741679,Olena,2021-03-29,,,within a few hours,96%,69%,f,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_x_medium,Tufts,48.0,64.0,"['email', 'phone']",t,t,,Cambridgeport,,42.36126965444848,-71.10711246413985,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Heating"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Pets allowed"", ""Shampoo"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Hot water"", ""Cooking basics"", ""Bed linens"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Free dryer \u2013 In building"", ""Wifi""]",$92.00,25,1125,25.0,25.0,1125.0,1125.0,25.0,1125.0,,t,0,2,2,47,2025-06-26,13,6,0,2,7,255,23460.0,2021-08-28,2024-12-29,4.46,4.54,4.54,4.77,4.54,4.77,4.46,,f,16,4,12,0,0.28
482,49214672,https://www.airbnb.com/rooms/49214672,20250625193454,2025-06-26,city scrape,CambridgePort Private Bath 1st floor Back Bedroom,"Cambridge Prime Location – 8 min walk to Central Sq subway, near Charles River, MIT, Harvard, BU, quiet residential area. Easy access to Central, Kendall Squares, Whole Foods, Trader Joe's. Walking-Biking paths along the Charles River and BU Bridge to Boston. Central efficient AC/heating. Hardwood floors, laundries.<br />1st floor. A cozy bedroom w/a private attached bathroom, double bed, computer desk, 2 windows. Starting package of bath essentials. A guest can share the full kitchen and laundry.",,https://a0.muscache.com/pictures/miso/Hosting-49214672/original/7a0fd30e-7a6e-444b-adf1-c70bb9cf7b4b.jpeg,394741679,https://www.airbnb.com/users/show/394741679,Olena,2021-03-29,,,within a few hours,96%,69%,f,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_x_medium,Tufts,48.0,64.0,"['email', 'phone']",t,t,,Cambridgeport,,42.35945,-71.10787,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Baking sheet"", ""Central air conditioning"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Free dryer \u2013 In unit"", ""Iron"", ""Clothing storage"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Pets allowed"", ""Self check-in"", ""Shampoo"", ""Oven"", ""Mosquito net"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Body soap"", ""Hot water"", ""Microwave"", ""Free washer \u2013 In unit"", ""Freezer"", ""Kitchen"", ""Hot water kettle"", ""Cooking basics"", ""Lock on bedroom door"", ""Stove"", ""Shower gel"", ""Bed linens"", ""Dedicated workspace"", ""Dining table"", ""Carbon monoxide alarm"", ""Central heating"", ""Keypad"", ""Long term stays allowed"", ""Wifi""]",$75.00,30,1125,7.0,30.0,1125.0,1125.0,27.9,1125.0,,t,0,3,14,289,2025-06-26,7,0,0,113,1,0,0.0,2021-12-31,2024-05-20,4.86,4.86,4.43,5.0,5.0,4.86,4.43,,f,16,4,12,0,0.16
488,49382833,https://www.airbnb.com/rooms/49382833,20250625193454,2025-06-26,city scrape,"CharlesRiver, Harvard, MIT 3rd floor 2-room Apt","Cambridge Prime Location – 8 min walk to Central Sq subway, near Charles River, MIT, Harvard, BU, quiet residential area. Easy access to Central, Kendall Squares, Whole Foods, Trader Joe's. Walking-Biking paths along the Charles River and BU Bridge to Boston. AC/heating. Hardwood floors, laundries. Starting package of bath essentials.<br />Nice 1-bedroom apartment with a huge deck on the 3rd floor.  There is a queen and double beds, a futon. Great view from the deck. The unit is officially deleaded.",,https://a0.muscache.com/pictures/2ec05b30-7f33-4bf0-b57b-81c88518fc0d.jpg,394741679,https://www.airbnb.com/users/show/394741679,Olena,2021-03-29,,,within a few hours,96%,69%,f,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b1b3c1fe-c29e-4122-93bc-a06376e1ae82.jpg?aki_policy=profile_x_medium,Tufts,48.0,64.0,"['email', 'phone']",t,t,,Riverside,,42.36603,-71.11141,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Heating"", ""Free driveway parking on premises \u2013 1 space"", ""Iron"", ""Washer"", ""Refrigerator"", ""Dishes and silverware"", ""Hair dryer"", ""Room-darkening shades"", ""Fire extinguisher"", ""Pets allowed"", ""Shampoo"", ""Private entrance"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Essentials"", ""Microwave"", ""Hangers"", ""Induction stove"", ""Cooking basics"", ""Toaster"", ""Dryer"", ""Dedicated workspace"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""Private patio or balcony"", ""Wifi""]",,24,1125,5.0,24.0,1125.0,1125.0,22.3,1125.0,,t,28,29,29,29,2025-06-26,23,6,0,29,3,255,,2021-08-15,2025-05-14,4.61,4.7,4.35,4.7,4.65,4.91,4.39,,f,16,4,12,0,0.49
